"id","experience_R","experience_datatable","usage_frequency","usage_context","usage_area","appreciate_most","biggest_challenges","desired_extra_functionality","satisfaction1_performance","satisfaction1_readability","satisfaction1_concise","satisfaction1_nonbreaking","satisfaction1_mindeps","satisfaction1_errors","satisfaction1_docs","importance_performance","importance_readability","importance_concise","importance_nonbreaking","importance_mindeps","importance_errors","importance_docs","satisfaction2_io","satisfaction2_filter","satisfaction2_reshape","satisfaction2_joins","satisfaction2_manip","pipe_helper_usefulness","walrus_alias","contribution_interest","contribution_areas_interest","contribution_areas_previous","contribution_easier","values_et_al","agreements_et_al","gov_docs_rolemodels","anything_else","responses_sharing"
108,"4 - 7 years","4 - 7 years","Every week","Academic research;","Data preparation;Statistical analysis;","Speed; efficient syntax","Still confused about syntax (when to quote or not, etc)",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Very important","Very important","Very important","Important","Important","Extremely important","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","Spreading the word about data.table;",NA,NA,NA,NA,"The collapse package seems very interesting for data.table users. A comparison and discussion of synergies on the data.table website would be useful.",NA
109,"4 - 7 years","4 - 7 years","Every day","Professionally;Teaching;Academic research;Side projects;","Data preparation;Machine learning;","< masked >","< masked >","< masked >","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Submitting requests for new features;Reviewing R code;Submitting R code;","Spreading the word about data.table;Submitting requests for new features;GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);Submitting R code;Reviewing R code;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
110,"4 - 7 years","2 - 4 years","Every week","Professionally;Side projects;","Data preparation;As a dependency in my R package(s);In Shiny apps;In production;","speed","syntax","larger-than-ram processing","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Very important","Very important","Extremely important","Extremely important","Very important","Very important","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Reporting issues;Submitting requests for new features;Submitting R code;","Spreading the word about data.table;Reporting issues;",NA,NA,NA,NA,NA,NA
111,"4 - 7 years","12 - 24 months","Every day","Professionally;Academic research;","Data preparation;Statistical analysis;","low memory, speed","Seems to be abandoned",NA,"Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Extremely important","Very important","Very important","Somewhat important","Important","Important","Somewhat important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;Donating financially;","I haven't contributed to data.table yet;","internal code readability. i find it hard to parse",NA,NA,NA,NA,NA
112,"7+ years","7+ years","Every day","Professionally;","Data preparation;Statistical analysis;As a dependency in my R package(s);In Shiny apps;In production;","Performance, efficiency, long term package stability","Remembering the arguments for dcast & melt","Extension of data.table API DT[ i, j, by, ...] to arrow datasets to work with larger than memory data. (Could, and maybe should be a separate package for the sake of dependency management)","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Important","Important","Extremely important","Very important","Important","Important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Reporting issues;GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);Writing/editing documentation;Reviewing R code;Spreading the word about data.table;","Spreading the word about data.table;Reporting issues;Submitting R code;Submitting requests for new features;",NA,"Performance, efficiency, backward compatibility,","Conservative approach to changes, respect for reverse dependencies, shorter release cycles. Don't have to say yes to every feature request.","Doesn't matter to me as long as the principles that guided Matt are maintained going forward",NA,NA
113,"7+ years","2 - 4 years","Every week","Academic research;","Data preparation;",NA,NA,NA,"Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very important","Important","Important","Extremely important","Extremely important","Somewhat important","Very important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;","I haven't contributed to data.table yet;",NA,NA,NA,NA,NA,NA
114,"4 - 7 years","2 - 4 years","Every month","Professionally;Side projects;","Data preparation;In Shiny apps;","< masked >","< masked >","< masked >","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very important","Extremely important","Important","Very important","Important","Extremely important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Giving talks/tutorials on data.table;Adding translations;Reviewing R code;","Giving talks/tutorials on data.table;Spreading the word about data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
115,"7+ years","4 - 7 years","Every week","Academic research;Side projects;","Data preparation;Statistical analysis;","Concise syntax","Wrapping head around all concepts",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very important","Extremely important","Extremely important","Important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);Writing/editing documentation;Adding translations;","I haven't contributed to data.table yet;Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
116,"7+ years","4 - 7 years","Every day","Academic research;Teaching;","Data preparation;Statistical analysis;As a dependency in my R package(s);","syntax & performance","Working with others.","Mmm, parallel operations? As in, once grouped, the j block evaluated in parallel seamlessly.","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Important","Very important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Giving talks/tutorials on data.table;Submitting requests for new features;Reviewing R code;Reviewing C code;Submitting R code;Submitting C code;","Spreading the word about data.table;Giving talks/tutorials on data.table;Submitting requests for new features;","If I had more time, institutional support.","Current foundation is great - concise, but flexible syntaxes, minimal dependencies, performance emphasis",NA,NA,NA,NA
117,"7+ years","4 - 7 years","Every day","Professionally;Academic research;Teaching;","Data preparation;Statistical analysis;In Shiny apps;In production;","Good Syntax and fast",NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Important","Important","Important","Important","Important","Somewhat important","Important","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Reporting issues;Submitting requests for new features;Writing/editing documentation;Adding translations;","Submitting requests for new features;",NA,NA,NA,NA,NA,NA
118,"7+ years","4 - 7 years","Every week","Professionally;Academic research;Side projects;","Data preparation;","Syntax and speed",NA,NA,"Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very important","Extremely important","Extremely important","Very important","Very important","Extremely important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","It should be possible to just put multiple := in the statement","Maybe","Spreading the word about data.table;Reporting issues;Submitting requests for new features;Donating financially;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
